Sr No,Time ,MI_Match No,Opposite Team,Match_City,Match_Month,Match_Date,Match Type,Toss,Batting Sequence,Match Score,Match_Stadium,Captain,Head Coach,No of Blowers,No of All Rounders,No of Batsman,Umpire_Sundaram Ravi,Umpire_Anil Chaudhary,Umpire_Nitin Menon,Umpire_Kumar Dharmasena,Umpire_Chris Gaffaney,Umpire_Others,Result
36,N,8,CSK,Chennai,May,Odd,Home,Lost,1,2,"MA Chidambaram Stadium, Chepauk, Chennai",Rohit Sharma,Mahela Jayawardene,4,3,3,0,0,1,0,0,1,Win
37,N,9,CSK,Others,May,Even,Home,Won,1,2,Others,Rohit Sharma,Mahela Jayawardene,4,3,3,0,0,1,0,0,1,Win
38,N,10,RR,Mumbai,Apr,Odd,Home,Lost,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,3,3,0,1,0,0,1,1,Lost
39,D/N,11,Others,Mumbai,Apr,Even,Home,Lost,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,3,4,3,0,0,1,0,0,1,Lost
40,N,12,DC,Mumbai,Apr,Odd,Home,Lost,2,4,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,3,3,0,0,1,0,0,1,Win
41,N,13,SRH,Mumbai,Apr,Even,Home,Won,2,2,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,3,3,1,0,0,0,0,1,Lost
42,D/N,14,KKR,Mumbai,May,Even,Home,Lost,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,3,4,3,0,1,0,1,0,1,Win
43,N,1,RCB,Mumbai,May,Odd,Home,Lost,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,3,4,3,0,0,1,0,0,1,Lost
44,N,2,CSK,Mumbai,May,Even,Home,Lost,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,3,4,3,0,0,1,0,0,1,Win
45,N,3,KKR,Mumbai,Apr,Odd,Home,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,3,3,0,0,1,0,0,1,Win
46,N,4,RCB,Mumbai,Apr,Even,Home,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,3,3,0,0,1,0,0,1,Win
47,D/N,5,KXIP,Mumbai,Apr,Even,Home,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,3,3,1,0,0,0,0,1,Win
48,N,6,SRH,Mumbai,Apr,Even,Home,Lost,2,2,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,3,3,1,0,0,0,0,1,Win
49,N,7,RR,Mumbai,Apr,Even,Home,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,5,2,3,1,0,0,0,0,1,Lost
50,D/N,8,DC,Mumbai,May,Odd,Home,Lost,1,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,3,3,0,1,0,0,1,1,Win
