Time ,Opposite Team,Toss,Batting Sequence,Match Score,Match_Stadium,Captain,Head Coach,No of Blowers,No of All Rounders,No of Batsman,Result
N,DC,Lost,2,2,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,3,3,Lost
N,SRH,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,3,3,Win
N,DC,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,3,3,Win
D/N,DC,Won,2,3,OTHERS,Rohit Sharma,Mahela Jayawardene,4,3,3,Lost
N,DC,Won,1,2,OTHERS,Rohit Sharma,Mahela Jayawardene,4,2,4,Lost
N,RCB,Lost,2,4,OTHERS,Rohit Sharma,Mahela Jayawardene,4,2,4,Win
N,KXIP,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,5,2,3,Lost
N,CSK,Won,1,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,5,2,3,Lost
D/N,SRH,Won,1,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,5,1,4,Win
N,KXIP,Lost,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,5,1,4,Win
N,RR,Lost,1,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,5,2,3,Win
D/N,RCB,Lost,1,4,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,5,2,3,Lost
N,DC,Lost,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,5,2,3,Win
N,RR,Lost,1,3,OTHERS,Rohit Sharma,Mahela Jayawardene,4,2,4,Lost
N,CSK,Won,2,3,OTHERS,Rohit Sharma,Mahela Jayawardene,4,2,4,Lost
D/N,KKR,Lost,1,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,2,4,Win
N,SRH,Lost,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,2,4,Win
N,KKR,Lost,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,2,4,Lost
D/N,CSK,Lost,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,4,2,4,Win
N,CSK,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,3,3,4,Win
N,CSK,Lost,2,3,OTHERS,Rohit Sharma,Mahela Jayawardene,4,2,4,Lost
N,SRH,Won,1,4,"Wankhede Stadium, Mumbai",Ricky Ponting,Mahela Jayawardene,4,2,4,Win
D/N,DC,Won,1,3,"Wankhede Stadium, Mumbai",Ricky Ponting,Mahela Jayawardene,4,2,4,Win
N,RCB,Won,1,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,5,2,3,Win
N,RR,Won,1,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,5,2,3,Win
D/N,SRH,Won,1,2,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,5,2,3,Win
N,CSK,Won,1,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,5,2,3,Win
N,RCB,Lost,1,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,5,2,3,Win
N,KXIP,Lost,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mahela Jayawardene,5,2,3,Win
N,KKR,Lost,1,3,"Eden Gardens, Kolkata",Rohit Sharma,Mahela Jayawardene,4,3,3,Win
D/N,KKR,Won,2,2,"Wankhede Stadium, Mumbai",Harbhajan Singh,Mahela Jayawardene,4,2,4,Lost
N,RR,Lost,2,3,"Wankhede Stadium, Mumbai",Harbhajan Singh,Mahela Jayawardene,4,2,4,Win
N,KXIP,Lost,2,1,"Wankhede Stadium, Mumbai",Harbhajan Singh,Mahela Jayawardene,5,1,4,Lost
D/N,DC,Won,1,3,"Wankhede Stadium, Mumbai",Harbhajan Singh,Mahela Jayawardene,4,3,3,Lost
N,OTHERS,Won,2,2,"Wankhede Stadium, Mumbai",Harbhajan Singh,Mahela Jayawardene,5,1,4,Win
D/N,KKR,Won,2,3,"Wankhede Stadium, Mumbai",Harbhajan Singh,Mahela Jayawardene,5,2,3,Win
N,SRH,Lost,2,2,"Wankhede Stadium, Mumbai",Harbhajan Singh,Mahela Jayawardene,4,3,3,Lost
N,RCB,Won,2,2,"Wankhede Stadium, Mumbai",Harbhajan Singh,Mahela Jayawardene,4,2,4,Lost
N,OTHERS,Lost,2,3,"Wankhede Stadium, Mumbai",Sachin Tendulkar,Mahela Jayawardene,4,3,3,Lost
D/N,KXIP,Lost,1,2,"Wankhede Stadium, Mumbai",Sachin Tendulkar,Mahela Jayawardene,4,4,2,Win
N,DC,Lost,2,3,"Wankhede Stadium, Mumbai",Sachin Tendulkar,Mahela Jayawardene,4,4,2,Win
D/N,OTHERS,Lost,2,3,"Wankhede Stadium, Mumbai",Sachin Tendulkar,Mahela Jayawardene,4,2,4,Win
N,OTHERS,Lost,2,3,"Wankhede Stadium, Mumbai",Sachin Tendulkar,Mahela Jayawardene,4,2,4,Win
N,RCB,Lost,1,2,"Wankhede Stadium, Mumbai",Sachin Tendulkar,Mahela Jayawardene,4,2,4,Lost
N,DC,Won,1,2,"Wankhede Stadium, Mumbai",Sachin Tendulkar,Mahela Jayawardene,4,3,3,Lost
N,SRH,Won,2,2,"Wankhede Stadium, Mumbai",Sachin Tendulkar,Mahela Jayawardene,4,2,4,Win
N,KXIP,Won,2,3,"MA Chidambaram Stadium, Chepauk, Chennai",Sachin Tendulkar,Mahela Jayawardene,4,3,3,Lost
